# timestamp tx ty tz qx qy qz qw
1679940972.890000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1679940972.924000 -0.171895 -0.290666 -0.941258 -0.001487 -0.001708 -0.000088 0.999997
1679940973.092000 -1.116503 -0.617127 -0.907513 -0.005369 0.005780 0.001639 0.999968
1679940973.459000 -0.756093 -0.388580 -1.811875 -0.001100 0.002775 0.000738 0.999995
1679940973.623000 -0.846141 -0.338983 -0.817174 0.000278 0.002054 0.003861 0.999990
1679940973.658000 -0.984474 -0.357584 0.173037 0.003042 0.002283 0.006706 0.999970
1679940973.691000 -0.617850 -0.154345 -0.734862 0.005954 0.002902 0.009491 0.999933
1679940973.823000 -1.550043 -0.460817 -0.927449 0.011705 0.015486 0.018397 0.999642
1679940973.858000 -1.857077 -0.452639 0.024215 0.013166 0.016662 0.021618 0.999541
1679940973.990000 -2.703111 -0.912835 -0.244944 0.011627 0.041391 0.027893 0.998686
1679940974.024000 -3.667273 -1.110002 -0.067416 0.012057 0.053397 0.029525 0.998064
1679940974.124000 -4.277415 -1.185488 0.721272 0.013991 0.066106 0.027406 0.997338
1679940974.223000 -4.963165 -1.325771 0.007082 0.014783 0.071813 0.019510 0.997118
1679940974.524000 -4.921478 -1.389546 1.004175 0.015017 0.074299 0.022158 0.996877
1679940974.690000 -5.810824 -1.636538 1.388958 0.012547 0.087579 0.028577 0.995669
1679940974.757000 -6.001750 -1.640493 2.370555 0.014637 0.093977 0.034610 0.994865
1679940974.958000 -6.826404 -1.836879 2.901005 0.006553 0.113657 0.031313 0.993005
1679940975.024000 -7.591463 -1.988166 3.526942 0.005234 0.121926 0.026970 0.992159
1679940975.091000 -7.310555 -1.768718 4.461251 0.010193 0.127400 0.029051 0.991373
1679940975.258000 -8.174383 -2.086143 4.852458 0.012589 0.154856 0.033585 0.987286
1679940975.292000 -8.999830 -1.711706 5.274871 0.020739 0.173836 0.035194 0.983927
1679940975.359000 -9.828917 -1.390723 5.732676 0.028804 0.193817 0.037403 0.979901
1679940975.424000 -9.658073 -1.360351 6.717506 0.033009 0.202335 0.042555 0.977834
1679940975.457000 -10.069024 -1.251558 5.812363 0.033284 0.205201 0.043221 0.977198
1679940975.490000 -9.859697 -1.234781 6.790065 0.034634 0.208201 0.043052 0.976524
1679940975.525000 -10.121230 -0.932788 5.873331 0.034921 0.209831 0.042522 0.976188
1679940975.757000 -9.358076 -0.789940 5.243100 0.029837 0.213407 0.035397 0.975866
1679940975.957000 -8.507732 -0.816138 5.768675 0.023915 0.207287 0.030233 0.977520
1679940975.990000 -8.753231 -0.513725 4.847655 0.022432 0.206371 0.030306 0.977747
1679940976.058000 -7.930568 -0.540452 5.415557 0.019482 0.206502 0.032027 0.977728
1679940976.092000 -8.682365 -1.031845 5.855255 0.015129 0.214260 0.031971 0.976136
1679940976.157000 -9.288164 -0.675447 6.566584 0.017561 0.224278 0.031069 0.973871
1679940976.290000 -9.132768 -0.454333 7.529372 0.022374 0.232819 0.038358 0.971506
